Date,Time,Dark,TelNr,Instrument,Account,PI,Institution,ProjCode,
2021-07-26,05:53 - 15:04 (100%),15,1,HIRESr,hires1,Lauren Weiss,NASA,N048,
2021-07-27,05:53 - 10:28 ( 50%),22,1,LRIS-ADC,lris4, Engineering,KECK,E376,
2021-07-27,10:28 - 15:04 ( 50%),22,1,OSIRIS-NGS,osiris7,Quinn Konopacky,UCSD,U079,
2021-07-28,05:52 - 10:29 ( 50%),28,1,OSIRIS-LGS,osiris8,Andrea Ghez,UCLA,U017,
2021-07-28,10:29 - 15:05 ( 50%),28,1,OSIRIS-NGS,osiris8,Quinn Konopacky,UCSD,U079,
2021-07-29,05:52 - 10:29 ( 50%),35,1,OSIRIS-LGS,osiris8,Andrea Ghez,UCLA,U017,
2021-07-29,10:29 - 15:05 ( 50%),35,1,OSIRIS-NGS,osiris8,Quinn Konopacky,UCSD,U079,
2021-07-30,05:51 - 08:09 ( 25%),41,1,HIRESr,hires1,Ian Crossfield,NASA,N180,
2021-07-30,08:09 - 15:06 ( 75%),41,1,HIRESr,hires1,Andrew Howard,NASA,N012,
2021-07-31,05:51 - 15:06 (100%),47,1,HIRESr,hires2,Lynne Hillenbrand,CIT,C283,
