Date,Time,Dark,TelNr,Instrument,Account,PI,Institution,ProjCode,
2021-03-19,05:20 - 15:39 (100%),51,1,MOSFIRE,mosfire6,Brian Siana,UCR,U122,
2021-03-20,05:20 - 10:29 ( 50%),43,1,MOSFIRE,mosfire7,Ivo Labbe,Swinburne,W243,
2021-03-20,10:29 - 15:38 ( 50%),43,1,OSIRIS-LGS,osiris1,Tommaso Treu,UCLA,U021,
2021-03-21,05:21 - 10:30 ( 50%),34,1,MOSFIRE,mosfire7,Ivo Labbe,Swinburne,W243,
2021-03-21,10:30 - 15:38 ( 50%),34,1,HIRESr,hires1,Andrew Howard,CIT,C013,
2021-03-22,05:21 - 10:29 ( 50%),26,1,MOSFIRE,mosfire7,Ivo Labbe,Swinburne,W243,
2021-03-22,10:29 - 15:37 ( 50%),26,1,HIRESr,hires1,Andrew Howard,CIT,C013,
2021-03-23,05:21 - 10:28 ( 50%),18,1,PCS,, Segment Exchange,KECK,ENG,
2021-03-23,10:28 - 15:36 ( 50%),18,1,OSIRIS-LGS,osiris2, Engineering,KECK,E389,
2021-03-24,05:21 - 10:28 ( 50%),10,1,PCS,, Segment Exchange,KECK,ENG,
2021-03-24,10:28 - 15:35 ( 50%),10,1,PCS,, Engineering,KECK,E377,
2021-03-25,05:22 - 07:55 ( 25%),2,1,PCS,, Seg Exch,KECK,ENG,
2021-03-25,10:28 - 15:34 ( 50%),2,1,HIRESr,hires1,Andrew Howard,CIT,C013,
2021-03-25,07:55 - 10:28 ( 25%),2,1,OSIRIS-LGS,osiris3, Engineering,KECK,E388,
2021-03-26,06:22 - 11:28 ( 50%),0,1,HIRESr,hires2,Timothy Beers,Notre Dame,D337,
2021-03-26,11:28 - 13:00 ( 15%),0,1,OSIRIS-LGS,osiris4, Engineering,KECK,E389,
2021-03-26,13:00 - 15:33 ( 25%),0,1,OSIRIS-LGS,osiris4, Engineering,KECK,E388,
2021-03-26,05:22 - 06:22 ( 10%),0,1,PCS,, Engineering,KECK,ENG,
2021-03-27,05:22 - 10:27 ( 50%),0,1,MOSFIRE,mosfire8,Mariska Kriek,UCB,U075,
2021-03-27,10:27 - 15:32 ( 50%),0,1,HIRESr,hires1,Natalie Batalha,UCSC,U111,
2021-03-28,05:23 - 10:27 ( 50%),0,1,MOSFIRE,mosfire8,Mariska Kriek,UCB,U075,
2021-03-28,10:27 - 15:31 ( 50%),0,1,HIRESr,hires1,Natalie Batalha,UCSC,U111,
2021-03-29,05:23 - 10:26 ( 50%),4,1,MOSFIRE,mosfire9,Themiya Nanayakkara,Swinburne,W242,
2021-03-29,10:26 - 15:30 ( 50%),4,1,HIRESr,hires1,Andrew Howard,CIT,C013,
2021-03-30,05:23 - 10:26 ( 50%),15,1,OSIRIS-LGS,osiris5,Hilton Lewis,KECK,K328,
2021-03-30,10:26 - 15:29 ( 50%),15,1,MOSFIRE,mosfire1,Kerry Paterson,Northwestern,O316,
2021-03-31,05:24 - 10:26 ( 50%),25,1,OSIRIS-LGS,osiris2,Hilton Lewis,KECK,K332,
2021-03-31,10:26 - 15:29 ( 50%),25,1,OSIRIS-LGS,osiris2, Engineering,KECK,E389,
2021-04-01,05:24 - 10:26 ( 50%),36,1,MOSFIRE,mosfire2,Hilton Lewis,KECK,K323,
2021-04-01,10:26 - 12:57 ( 25%),36,1,PCS,, Engineering,KECK,E394,
2021-04-01,12:57 - 15:28 ( 25%),36,1,PCS,, Engineering,KECK,E377,
2021-04-02,05:24 - 15:27 (100%),46,1,MOSFIRE,mosfire2,Alice Shapley,UCLA,U046,
2021-04-03,05:24 - 15:26 (100%),56,1,MOSFIRE,mosfire3,Joseph Hennawi,UCSB,U058,
2021-04-04,05:25 - 15:25 (100%),66,1,LRIS-ADC,lris8,Evan Kirby,CIT,C259,
2021-04-05,05:25 - 15:24 (100%),74,1,LRIS-ADC,lris9,Thomas Prince,CIT,C308,
2021-04-06,05:25 - 15:23 (100%),81,1,LRIS-ADC,lris1,Alex Filippenko,UCB,U053,
2021-04-07,05:26 - 10:24 ( 50%),88,1,LRIS-ADC,lris2,Mariska Kriek,UCB,U075,
2021-04-07,10:24 - 15:22 ( 50%),88,1,LRIS-ADC,lris2,Ryan Foley,UCSC,U089,
2021-04-08,05:26 - 10:23 ( 50%),94,1,LRIS-ADC,lris2,Mariska Kriek,UCB,U075,
2021-04-08,10:23 - 15:21 ( 50%),94,1,HIRESr,hires1,Samuel Grunblatt,NASA,N098,
2021-04-09,05:26 - 15:20 (100%),100,1,LRIS-ADC,lris3,George Djorgovski,CIT,C278,
2021-04-10,05:27 - 15:20 (100%),100,1,LRIS-ADC,lris4,Jason Prochaska,UCSC,U084,
2021-04-11,05:27 - 10:23 ( 50%),100,1,LRIS-ADC,lris5,Alex Filippenko,UCB,U050,
2021-04-11,10:23 - 15:19 ( 50%),100,1,LRIS-ADC,lris5,Alex Filippenko,UCB,U078,
2021-04-12,05:27 - 15:18 (100%),97,1,LRIS-ADC,lris6,Daniel Masters,NASA,N238,
2021-04-13,05:28 - 15:17 (100%),89,1,LRIS-ADC,lris7,Shri Kulkarni,CIT,C293,
2021-04-14,05:28 - 15:16 (100%),80,1,LRIS-ADC,lris8,Pieter van Dokkum,Yale(CIT),Y228,
2021-04-15,05:29 - 15:15 (100%),72,1,LRIS-ADC,lris8,Pieter van Dokkum,Yale(CIT),Y228,
2021-04-16,05:29 - 15:14 (100%),63,1,MOSFIRE,mosfire4,Evan Kirby,CIT,C259,
2021-04-17,05:29 - 15:14 (100%),54,1,MOSFIRE,mosfire5,Joseph Hennawi,UCSB,U058,
2021-04-18,05:30 - 15:13 (100%),45,1,MOSFIRE,mosfire6,Alice Shapley,UCLA,U046,
2021-04-19,05:30 - 15:12 (100%),36,1,MOSFIRE,mosfire7,Brian Siana,UCR,U122,
2021-04-20,05:30 - 15:11 (100%),28,1,MOSFIRE,mosfire8,Tommaso Treu,UCLA,U020,
2021-04-21,05:31 - 15:10 (100%),21,1,MOSFIRE,mosfire8,Tommaso Treu,UCLA,U020,
2021-04-22,05:31 - 15:09 (100%),13,1,MOSFIRE,mosfire9,Intae Jung,NASA,N199,
2021-04-23,05:32 - 15:09 (100%),6,1,MOSFIRE,mosfire9,Intae Jung,NASA,N199,
2021-04-24,05:32 - 15:08 (100%),0,1,HIRESr,hires5,Carl Melis,UCSD,U110,
2021-04-25,05:32 - 15:07 (100%),0,1,OSIRIS-LGS,osiris3,Chris Fassnacht,UCD,U109,
2021-04-26,05:33 - 10:19 ( 50%),0,1,HIRESr,hires1,Andrew Howard,CIT,C013,
2021-04-26,10:19 - 15:06 ( 50%),0,1,OSIRIS-LGS,osiris4, Engineering,KECK,E379,
2021-04-27,05:33 - 10:19 ( 50%),0,1,LRIS-ADC,lris9, Engineering,KECK,E376,
2021-04-27,10:19 - 15:06 ( 50%),0,1,OSIRIS-NGS,osiris5, Engineering,KECK,E379,
2021-04-28,05:34 - 10:19 ( 50%),12,1,LRIS-ADC,lris9, Engineering,KECK,E376,
2021-04-28,10:19 - 15:05 ( 50%),12,1,OSIRIS-LGS,osiris6, Engineering,KECK,E379,
2021-04-29,05:34 - 15:04 (100%),24,1,MOSFIRE,mosfire1,Hannah Earnshaw,CIT,C249,
2021-04-30,05:35 - 15:03 (100%),35,1,MOSFIRE,mosfire2,Alice Shapley,NASA,N140,
2021-05-01,05:35 - 15:03 (100%),45,1,MOSFIRE,mosfire2,Alice Shapley,NASA,N140,
2021-05-02,05:36 - 15:02 (100%),55,1,OSIRIS-LGS,osiris4,Fred Hamann,UCR,U092,
2021-05-03,05:36 - 15:01 (100%),63,1,OSIRIS-LGS,osiris4,Fred Hamann,UCR,U092,
2021-05-04,05:36 - 15:01 (100%),70,1,HIRESb,hires7,Siyi Xu,NASA,N056,
2021-05-05,05:37 - 15:00 (100%),77,1,HIRESb,hires8,Carl Melis,UCSD,U110,
2021-05-06,05:37 - 10:18 ( 50%),83,1,LRIS-ADC,lris1, Engineering,KECK,E376,
2021-05-06,10:18 - 14:59 ( 50%),83,1,OSIRIS-LGS,osiris5,Andrea Ghez,UCLA,U017,
2021-05-07,05:38 - 14:59 (100%),89,1,LRIS-ADC,lris9,Pieter van Dokkum,Yale(CIT),Y228,
2021-05-08,05:38 - 14:58 (100%),95,1,LRIS-ADC,lris1,George Djorgovski,CIT,C278,
2021-05-09,05:39 - 10:19 ( 50%),100,1,LRIS-ADC,lris2,Mansi Kasliwal,CIT,C285,
2021-05-09,10:19 - 14:58 ( 50%),100,1,LRIS-ADC,lris2,Christoffer Fremling,CIT,C287,
2021-05-10,05:39 - 14:57 (100%),100,1,LRIS-ADC,lris3,Kerry Paterson,Northwestern,O316,
2021-05-11,05:40 - 14:57 (100%),100,1,LRIS-ADC,lris4,Ryan Foley,UCSC,U089,
2021-05-12,05:40 - 14:56 (100%),95,1,LRIS-ADC,lris5,Shri Kulkarni,CIT,C293,
2021-05-13,05:41 - 14:55 (100%),85,1,LRIS-ADC,lris6,Gregg Hallinan,CIT,C302,
2021-05-14,05:41 - 14:55 (100%),76,1,LRIS-ADC,lris7,Mike Brown,CIT,C314,
2021-05-15,05:42 - 10:19 ( 50%),67,1,LRIS-ADC,lris8,Christoffer Fremling,CIT,C287,
2021-05-15,10:19 - 14:55 ( 50%),67,1,OSIRIS-LGS,osiris6,Andrea Ghez,UCLA,U017,
