,utdate,quarter,start,stop,start_jd,stop_jd,kpfcc,dark
116,2021-03-03,1,05:15,07:54,2459276.7189554055,2459276.8295036564,True,True
117,2021-03-03,2,07:54,10:33,2459276.8295036564,2459276.940051907,True,False
118,2021-03-03,3,10:33,13:12,2459276.940051907,2459277.0506001576,False,False
119,2021-03-03,4,13:12,15:52,2459277.0506001576,2459277.1611484084,False,False
120,2021-03-04,1,05:15,07:54,2459277.719174921,2459277.829537843,True,True
121,2021-03-04,2,07:54,10:33,2459277.829537843,2459277.9399007647,False,False
122,2021-03-04,3,10:33,13:12,2459277.9399007647,2459278.050263686,False,False
123,2021-03-04,4,13:12,15:51,2459278.050263686,2459278.160626608,False,False
124,2021-03-05,1,05:15,07:54,2459278.7193921464,2459278.8295684317,True,True
125,2021-03-05,2,07:54,10:33,2459278.8295684317,2459278.939744717,False,False
126,2021-03-05,3,10:33,13:11,2459278.939744717,2459279.0499210022,False,False
127,2021-03-05,4,13:11,15:50,2459279.0499210022,2459279.1600972875,False,False
128,2021-03-06,1,05:16,07:54,2459279.719607258,2459279.829595628,False,True
129,2021-03-06,2,07:54,10:33,2459279.829595628,2459279.939583998,False,True
130,2021-03-06,3,10:33,13:11,2459279.939583998,2459280.0495723677,True,False
131,2021-03-06,4,13:11,15:49,2459280.0495723677,2459280.1595607377,True,False
132,2021-03-07,1,05:16,07:54,2459280.71982042,2459280.8296196256,False,True
133,2021-03-07,2,07:54,10:32,2459280.8296196256,2459280.939418831,False,True
134,2021-03-07,3,10:32,13:10,2459280.939418831,2459281.0492180362,False,False
135,2021-03-07,4,13:10,15:48,2459281.0492180362,2459281.159017242,True,False
136,2021-03-08,1,05:16,07:54,2459281.7200317844,2459281.829640608,True,True
137,2021-03-08,2,07:54,10:32,2459281.829640608,2459281.9392494317,False,True
138,2021-03-08,3,10:32,13:10,2459281.9392494317,2459282.048858255,False,True
139,2021-03-08,4,13:10,15:48,2459282.048858255,2459282.1584670786,False,False
140,2021-03-09,1,05:17,07:54,2459282.720241495,2459282.8296587514,True,True
141,2021-03-09,2,07:54,10:32,2459282.8296587514,2459282.9390760073,False,True
142,2021-03-09,3,10:32,13:09,2459282.9390760073,2459283.0484932633,False,True
143,2021-03-09,4,13:09,15:47,2459283.0484932633,2459283.1579105197,False,False
144,2021-03-10,1,05:17,07:54,2459283.720449689,2459283.829674221,False,True
145,2021-03-10,2,07:54,10:32,2459283.829674221,2459283.9388987534,False,True
146,2021-03-10,3,10:32,13:09,2459283.9388987534,2459284.0481232856,False,True
147,2021-03-10,4,13:09,15:46,2459284.0481232856,2459284.157347818,False,False
148,2021-03-11,1,05:17,07:54,2459284.7206564983,2459284.8296871646,False,True
149,2021-03-11,2,07:54,10:31,2459284.8296871646,2459284.9387178314,False,True
150,2021-03-11,3,10:31,13:08,2459284.9387178314,2459285.0477484977,False,True
151,2021-03-11,4,13:08,15:45,2459285.0477484977,2459285.156779164,False,True
152,2021-03-12,1,05:18,07:54,2459285.720862054,2459285.829697744,False,True
153,2021-03-12,2,07:54,10:31,2459285.829697744,2459285.938533434,False,True
154,2021-03-12,3,10:31,13:08,2459285.938533434,2459286.0473691244,False,True
155,2021-03-12,4,13:08,15:44,2459286.0473691244,2459286.1562048146,False,True
156,2021-03-13,1,05:18,07:54,2459286.721066486,2459286.8297061236,False,True
157,2021-03-13,2,07:54,10:31,2459286.8297061236,2459286.938345761,False,True
158,2021-03-13,3,10:31,13:07,2459286.938345761,2459287.046985398,False,True
159,2021-03-13,4,13:07,15:44,2459287.046985398,2459287.1556250355,False,True
160,2021-03-14,1,05:18,07:54,2459287.721269926,2459287.829712469,False,True
161,2021-03-14,2,07:54,10:30,2459287.829712469,2459287.9381550117,False,True
162,2021-03-14,3,10:30,13:07,2459287.9381550117,2459288.0465975543,False,True
163,2021-03-14,4,13:07,15:43,2459288.0465975543,2459288.1550400974,False,True
164,2021-03-15,1,05:18,07:54,2459288.7214725073,2459288.8297169493,False,False
165,2021-03-15,2,07:54,10:30,2459288.8297169493,2459288.937961391,False,True
166,2021-03-15,3,10:30,13:06,2459288.937961391,2459289.0462058326,False,True
167,2021-03-15,4,13:06,15:42,2459289.0462058326,2459289.1544502745,True,True
168,2021-03-16,1,05:19,07:54,2459289.721674498,2459289.8297198354,True,False
169,2021-03-16,2,07:54,10:30,2459289.8297198354,2459289.9377651727,False,True
170,2021-03-16,3,10:30,13:05,2459289.9377651727,2459290.04581051,False,True
171,2021-03-16,4,13:05,15:41,2459290.04581051,2459290.153855847,False,True
172,2021-03-17,1,05:19,07:54,2459290.721875953,2459290.829721241,False,False
173,2021-03-17,2,07:54,10:30,2459290.829721241,2459290.937566528,False,True
174,2021-03-17,3,10:30,13:05,2459290.937566528,2459291.045411816,False,True
175,2021-03-17,4,13:05,15:40,2459291.045411816,2459291.153257103,True,True
176,2021-03-18,1,05:19,07:54,2459291.7220770153,2459291.8297213456,True,False
177,2021-03-18,2,07:54,10:29,2459291.8297213456,2459291.937365676,False,False
178,2021-03-18,3,10:29,13:04,2459291.937365676,2459292.0450100056,False,True
179,2021-03-18,4,13:04,15:39,2459292.0450100056,2459292.152654336,False,True
180,2021-03-19,1,05:20,07:54,2459292.722277835,2459292.8297203374,False,False
181,2021-03-19,2,07:54,10:29,2459292.8297203374,2459292.93716284,False,False
182,2021-03-19,3,10:29,13:04,2459292.93716284,2459293.044605342,False,True
183,2021-03-19,4,13:04,15:38,2459293.044605342,2459293.1520478446,True,True
184,2021-03-20,1,05:20,07:54,2459293.7224785644,2459293.829718407,True,False
185,2021-03-20,2,07:54,10:29,2459293.829718407,2459293.9369582497,False,False
186,2021-03-20,3,10:29,13:03,2459293.9369582497,2459294.044198092,False,True
187,2021-03-20,4,13:03,15:38,2459294.044198092,2459294.1514379345,False,True
188,2021-03-21,1,05:20,07:54,2459294.722679361,2459294.8297156915,False,False
189,2021-03-21,2,07:54,10:28,2459294.8297156915,2459294.9367520222,False,False
190,2021-03-21,3,10:28,13:03,2459294.9367520222,2459295.043788353,False,False
191,2021-03-21,4,13:03,15:37,2459295.043788353,2459295.1508246837,True,True
192,2021-03-22,1,05:20,07:54,2459295.7228803844,2459295.8297122903,False,False
193,2021-03-22,2,07:54,10:28,2459295.8297122903,2459295.9365441957,False,False
194,2021-03-22,3,10:28,13:02,2459295.9365441957,2459296.043376101,False,False
195,2021-03-22,4,13:02,15:36,2459296.043376101,2459296.150208007,False,True
196,2021-03-23,1,05:21,07:54,2459296.7230818,2459296.829708535,False,False
197,2021-03-23,2,07:54,10:28,2459296.829708535,2459296.9363352708,False,False
198,2021-03-23,3,10:28,13:01,2459296.9363352708,2459297.042962006,False,False
199,2021-03-23,4,13:01,15:35,2459297.042962006,2459297.149588741,True,True
200,2021-03-24,1,05:21,07:54,2459297.7232837784,2459297.8297046376,True,False
201,2021-03-24,2,07:54,10:28,2459297.8297046376,2459297.936125497,False,False
202,2021-03-24,3,10:28,13:01,2459297.936125497,2459298.0425463556,False,False
203,2021-03-24,4,13:01,15:34,2459298.0425463556,2459298.148967215,False,False
204,2021-03-25,1,05:21,07:54,2459298.7234864966,2459298.829700814,False,False
205,2021-03-25,2,07:54,10:27,2459298.829700814,2459298.9359151316,False,False
206,2021-03-25,3,10:27,13:00,2459298.9359151316,2459299.042129449,False,False
207,2021-03-25,4,13:00,15:33,2459299.042129449,2459299.1483437666,True,False
208,2021-03-26,1,05:22,07:54,2459299.723690141,2459299.8296972914,False,False
209,2021-03-26,2,07:54,10:27,2459299.8296972914,2459299.9357044413,False,False
210,2021-03-26,3,10:27,13:00,2459299.9357044413,2459300.041711591,False,False
211,2021-03-26,4,13:00,15:32,2459300.041711591,2459300.1477187416,False,False
212,2021-03-27,1,05:22,07:54,2459300.723894909,2459300.829694305,True,False
213,2021-03-27,2,07:54,10:27,2459300.829694305,2459300.935493701,False,False
214,2021-03-27,3,10:27,12:59,2459300.935493701,2459301.0412930967,False,False
215,2021-03-27,4,12:59,15:31,2459301.0412930967,2459301.147092493,False,False
216,2021-03-28,1,05:22,07:54,2459301.724101009,2459301.8296921016,False,False
217,2021-03-28,2,07:54,10:26,2459301.8296921016,2459301.935283194,False,False
218,2021-03-28,3,10:26,12:58,2459301.935283194,2459302.0408742866,False,False
219,2021-03-28,4,12:58,15:30,2459302.0408742866,2459302.146465379,True,False
220,2021-03-29,1,05:23,07:54,2459302.7243086575,2459302.8296909337,False,False
221,2021-03-29,2,07:54,10:26,2459302.8296909337,2459302.9350732095,False,False
222,2021-03-29,3,10:26,12:58,2459302.9350732095,2459303.0404554857,False,False
223,2021-03-29,4,12:58,15:30,2459303.0404554857,2459303.1458377615,False,False
224,2021-03-30,1,05:23,07:54,2459303.7245180747,2459303.8296910566,False,False
225,2021-03-30,2,07:54,10:26,2459303.8296910566,2459303.9348640386,False,False
226,2021-03-30,3,10:26,12:57,2459303.9348640386,2459304.0400370206,False,False
227,2021-03-30,4,12:57,15:29,2459304.0400370206,2459304.1452100025,True,False
228,2021-03-31,1,05:23,07:54,2459304.7247294756,2459304.829692722,True,False
229,2021-03-31,2,07:54,10:25,2459304.829692722,2459304.934655968,False,False
230,2021-03-31,3,10:25,12:57,2459304.934655968,2459305.0396192144,False,False
231,2021-03-31,4,12:57,15:28,2459305.0396192144,2459305.1445824606,False,False
232,2021-04-01,1,05:23,07:54,2459305.7249430646,2459305.829695946,False,True
233,2021-04-01,2,07:54,10:25,2459305.829695946,2459305.934448828,False,False
234,2021-04-01,3,10:25,12:56,2459305.934448828,2459306.0392017094,False,False
235,2021-04-01,4,12:56,15:27,2459306.0392017094,2459306.143954591,False,False
236,2021-04-02,1,05:24,07:54,2459306.725159027,2459306.829700967,False,True
237,2021-04-02,2,07:54,10:25,2459306.829700967,2459306.9342429065,False,False
238,2021-04-02,3,10:25,12:55,2459306.9342429065,2459307.0387848457,True,False
239,2021-04-02,4,12:55,15:26,2459307.0387848457,2459307.1433267854,True,False
240,2021-04-03,1,05:24,07:54,2459307.7253775275,2459307.829708174,False,True
241,2021-04-03,2,07:54,10:25,2459307.829708174,2459307.93403882,False,False
242,2021-04-03,3,10:25,12:55,2459307.93403882,2459308.038369466,False,False
243,2021-04-03,4,12:55,15:25,2459308.038369466,2459308.1427001124,True,False
244,2021-04-04,1,05:24,07:54,2459308.725598709,2459308.8297177576,True,True
245,2021-04-04,2,07:54,10:24,2459308.8297177576,2459308.9338368056,False,True
246,2021-04-04,3,10:24,12:54,2459308.9338368056,2459309.037955854,False,False
247,2021-04-04,4,12:54,15:24,2459309.037955854,2459309.142074902,False,False
248,2021-04-05,1,05:25,07:54,2459309.7258226974,2459309.8297298914,True,True
249,2021-04-05,2,07:54,10:24,2459309.8297298914,2459309.9336370854,True,True
250,2021-04-05,3,10:24,12:54,2459309.9336370854,2459310.0375442794,False,False
251,2021-04-05,4,12:54,15:23,2459310.0375442794,2459310.1414514733,False,False
252,2021-04-06,1,05:25,07:54,2459310.7260495983,2459310.829744733,True,True
253,2021-04-06,2,07:54,10:24,2459310.829744733,2459310.933439867,True,True
254,2021-04-06,3,10:24,12:53,2459310.933439867,2459311.0371350013,False,True
255,2021-04-06,4,12:53,15:22,2459311.0371350013,2459311.140830136,False,False
256,2021-04-07,1,05:25,07:54,2459311.7262795037,2459311.829762426,False,True
257,2021-04-07,2,07:54,10:23,2459311.829762426,2459311.9332453487,False,True
258,2021-04-07,3,10:23,12:52,2459311.9332453487,2459312.036728271,False,True
259,2021-04-07,4,12:52,15:21,2459312.036728271,2459312.1402111934,False,False
260,2021-04-08,1,05:26,07:54,2459312.7265124917,2459312.829783104,False,True
261,2021-04-08,2,07:54,10:23,2459312.829783104,2459312.9330537166,False,True
262,2021-04-08,3,10:23,12:52,2459312.9330537166,2459313.0363243287,False,True
263,2021-04-08,4,12:52,15:21,2459313.0363243287,2459313.139594941,True,False
264,2021-04-09,1,05:26,07:54,2459313.7267486304,2459313.829806891,True,True
265,2021-04-09,2,07:54,10:23,2459313.829806891,2459313.932865151,True,True
266,2021-04-09,3,10:23,12:51,2459313.932865151,2459314.035923411,False,True
267,2021-04-09,4,12:51,15:20,2459314.035923411,2459314.1389816715,False,False
268,2021-04-10,1,05:26,07:54,2459314.7269879766,2459314.8298339006,False,True
269,2021-04-10,2,07:54,10:23,2459314.8298339006,2459314.9326798245,False,True
270,2021-04-10,3,10:23,12:51,2459314.9326798245,2459315.035525748,False,True
271,2021-04-10,4,12:51,15:19,2459315.035525748,2459315.138371672,False,True
272,2021-04-11,1,05:27,07:55,2459315.7272305787,2459315.829864241,False,True
273,2021-04-11,2,07:55,10:22,2459315.829864241,2459315.9324979032,False,True
274,2021-04-11,3,10:22,12:50,2459315.9324979032,2459316.0351315653,False,True
275,2021-04-11,4,12:50,15:18,2459316.0351315653,2459316.137765228,False,True
276,2021-04-12,1,05:27,07:55,2459316.727476476,2459316.8298975807,False,True
277,2021-04-12,2,07:55,10:22,2459316.8298975807,2459316.932318685,False,True
278,2021-04-12,3,10:22,12:50,2459316.932318685,2459317.0347397896,False,True
279,2021-04-12,4,12:50,15:17,2459317.0347397896,2459317.137160894,False,True
280,2021-04-13,1,05:27,07:55,2459317.7277257023,2459317.8299342403,False,True
281,2021-04-13,2,07:55,10:22,2459317.8299342403,2459317.932142778,False,True
282,2021-04-13,3,10:22,12:49,2459317.932142778,2459318.0343513153,False,True
283,2021-04-13,4,12:49,15:16,2459318.0343513153,2459318.1365598533,False,True
284,2021-04-14,1,05:28,07:55,2459318.727978282,2459318.829974491,True,False
285,2021-04-14,2,07:55,10:22,2459318.829974491,2459318.9319707,True,True
286,2021-04-14,3,10:22,12:48,2459318.9319707,2459319.0339669087,False,True
287,2021-04-14,4,12:48,15:15,2459319.0339669087,2459319.1359631177,False,True
288,2021-04-15,1,05:28,07:55,2459319.7282344457,2459319.8300185776,False,False
289,2021-04-15,2,07:55,10:21,2459319.8300185776,2459319.93180271,False,True
290,2021-04-15,3,10:21,12:48,2459319.93180271,2459320.033586842,False,True
291,2021-04-15,4,12:48,15:14,2459320.033586842,2459320.135370974,False,True
292,2021-04-16,1,05:29,07:55,2459320.7284949985,2459320.8300671764,True,False
293,2021-04-16,2,07:55,10:21,2459320.8300671764,2459320.9316393537,False,False
294,2021-04-16,3,10:21,12:47,2459320.9316393537,2459321.033211531,False,True
295,2021-04-16,4,12:47,15:14,2459321.033211531,2459321.134783709,False,True
296,2021-04-17,1,05:29,07:55,2459321.7287590266,2459321.830119673,True,False
297,2021-04-17,2,07:55,10:21,2459321.830119673,2459321.9314803192,True,False
298,2021-04-17,3,10:21,12:47,2459321.9314803192,2459322.0328409653,False,True
299,2021-04-17,4,12:47,15:13,2459322.0328409653,2459322.134201612,False,True
300,2021-04-18,1,05:29,07:55,2459322.7290265337,2459322.8301761434,True,False
301,2021-04-18,2,07:55,10:21,2459322.8301761434,2459322.9313257528,True,False
302,2021-04-18,3,10:21,12:46,2459322.9313257528,2459323.0324753625,False,True
303,2021-04-18,4,12:46,15:12,2459323.0324753625,2459323.133624972,False,True
304,2021-04-19,1,05:30,07:55,2459323.729297519,2459323.8302366594,True,False
305,2021-04-19,2,07:55,10:20,2459323.8302366594,2459323.9311757996,False,False
306,2021-04-19,3,10:20,12:46,2459323.9311757996,2459324.0321149398,False,False
307,2021-04-19,4,12:46,15:11,2459324.0321149398,2459324.13305408,False,True
308,2021-04-20,1,05:30,07:55,2459324.72957198,2459324.8303012927,True,False
309,2021-04-20,2,07:55,10:20,2459324.8303012927,2459324.9310306055,True,False
310,2021-04-20,3,10:20,12:45,2459324.9310306055,2459325.0317599177,False,False
311,2021-04-20,4,12:45,15:10,2459325.0317599177,2459325.1324892305,False,True
312,2021-04-21,1,05:30,07:55,2459325.729849909,2459325.830370112,False,False
313,2021-04-21,2,07:55,10:20,2459325.830370112,2459325.9308903143,False,False
314,2021-04-21,3,10:20,12:45,2459325.9308903143,2459326.031410517,False,False
315,2021-04-21,4,12:45,15:09,2459326.031410517,2459326.1319307196,True,True
316,2021-04-22,1,05:31,07:55,2459326.7301312983,2459326.8304431853,True,False
317,2021-04-22,2,07:55,10:20,2459326.8304431853,2459326.9307550727,True,False
318,2021-04-22,3,10:20,12:44,2459326.9307550727,2459327.0310669597,False,False
